Kenya	Schilling	KES	129.990000	2019-08-01	2019-08-31
Kuwait	Dinar	KWD	0.380500	2019-08-01	2019-08-31
Kyrgyz Republic	Som	KGS	87.070000	2019-08-01	2019-08-31
Lao People's Dem Rep	Kip	LAK	10864.590000	2019-08-01	2019-08-31
Lebanon	Pound	LBP	1883.670000	2019-08-01	2019-08-31
Lesotho	Loti	LSL	17.347800	2019-08-01	2019-08-31
Liberia	Dollar (US)	LRD	1.250000	2019-08-01	2019-08-31
Libya	Dinar	LYD	1.749900	2019-08-01	2019-08-31
Macao	Pataca	MOP	10.061200	2019-08-01	2019-08-31
Macedonia	Denar	MKD	68.978700	2019-08-01	2019-08-31
Madagascar	Malagasy Ariary	MGA	4565.450000	2019-08-01	2019-08-31
Malawi	Kwacha	MWK	947.270000	2019-08-01	2019-08-31
Malaysia	Ringgit	MYR	5.147900	2019-08-01	2019-08-31
Maldive Islands	Rufiyaa	MVR	19.311800	2019-08-01	2019-08-31
Mali Republic	CFA Franc	XOF	735.810000	2019-08-01	2019-08-31
Mauritania	Ouguiya	MRO	446.600000	2019-08-01	2019-08-31
Mauritius	Rupee	MUR	45.373300	2019-08-01	2019-08-31
Mexico	Mexican Peso	MXN	23.870000	2019-08-01	2019-08-31
Moldova	Leu	MDL	21.920000	2019-08-01	2019-08-31
Mongolia	Tugrik	MNT	3331.750000	2019-08-01	2019-08-31
Montserrat	E Caribbean Dollar	XCD	3.374900	2019-08-01	2019-08-31
Morocco	Dirham	MAD	12.008700	2019-08-01	2019-08-31
Mozambique	Metical	MZN	76.809600	2019-08-01	2019-08-31
Myanmar	Kyat	MMK	1890.360000	2019-08-01	2019-08-31
Nepal	Rupee	NPR	137.960000	2019-08-01	2019-08-31
New Caledonia	CFP Franc	XPF	133.850000	2019-08-01	2019-08-31
New Zealand	Dollar	NZD	1.862300	2019-08-01	2019-08-31
Nicaragua	Gold Cordoba	NIO	41.520000	2019-08-01	2019-08-31
Niger Republic	CFA Franc	XOF	735.810000	2019-08-01	2019-08-31
Nigeria	Naira	NGN	452.790000	2019-08-01	2019-08-31
Norway	Norwegian Krone	NOK	10.790000	2019-08-01	2019-08-31
Oman	Rial	OMR	0.481300	2019-08-01	2019-08-31
Pakistan	Rupee	PKR	200.800000	2019-08-01	2019-08-31
Panama	Balboa	PAB	1.250000	2019-08-01	2019-08-31
Papua New Guinea	Kina	PGK	4.247800	2019-08-01	2019-08-31
Paraguay	Guarani	PYG	7497.490000	2019-08-01	2019-08-31
Peru	New Sol	PEN	4.115000	2019-08-01	2019-08-31
Philippines	Peso	PHP	63.960000	2019-08-01	2019-08-31
Poland	Zloty	PLN	4.772700	2019-08-01	2019-08-31
Qatar	Riyal	QAR	4.551100	2019-08-01	2019-08-31
Romania	New Leu	RON	5.293400	2019-08-01	2019-08-31
Russia	Rouble	RUB	78.809500	2019-08-01	2019-08-31
Rwanda	Franc	RWF	1144.680000	2019-08-01	2019-08-31
Saotome & Principe	Dobra	STD	27511.500000	2019-08-01	2019-08-31
Saudi Arabia	Riyal	SAR	4.688200	2019-08-01	2019-08-31
Senegal	CFA Franc	XOF	735.810000	2019-08-01	2019-08-31
